"Coins"	"AdditionalReward"	"Variety"	"StartTime"	"HasEnded"	"HasWinner"	"EndTime"	"NextRaffleVariety"	"WinnerName"	"WasSniped"	"Fact"	"NumberOfPlayers"	"NumberOfPlayersJoined"	"NumberOfPlayersFailed"	"Duration"	"WinChancePerJoinedPlayer"
"6"	"SuperchargeMinePower"	"Raffle"	"2021-04-13T14:33:31"	"True"	"True"	"2021-04-13T14:34:32"	"Raffle"	"#BanPlajer"	"False"	""	"16"	"13"	"3"	"00:01:01"	"0,07692307692307693"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-13T15:02:32"	"True"	"True"	"2021-04-13T15:03:32"	"Raffle"	"Athena's C"	"False"	""	"19"	"19"	"0"	"00:01:00"	"0,05263157894736842"
"2"	"None"	"Raffle"	"2021-04-13T15:42:32"	"True"	"True"	"2021-04-13T15:43:32"	"Raffle"	"Kratt"	"False"	""	"18"	"16"	"2"	"00:01:00"	"0,0625"
"6"	"PoorArtifact"	"Raffle"	"2021-04-13T16:22:32"	"True"	"True"	"2021-04-13T16:23:33"	"Raffle"	"Legolas"	"False"	""	"15"	"14"	"1"	"00:01:01"	"0,07142857142857142"
"5"	"None"	"Raffle"	"2021-04-13T16:45:33"	"True"	"True"	"2021-04-13T16:46:33"	"Wafaffle"	"KaelF"	"False"	""	"11"	"11"	"0"	"00:01:00"	"0,09090909090909091"
"4"	"TimeWarpPower"	"Waffle"	"2021-04-13T18:14:33"	"True"	"True"	"2021-04-13T18:15:33"	"Raffle"	"JK_3"	"False"	""	"15"	"14"	"1"	"00:01:00"	"0,07142857142857142"
"6"	"SuperchargeMinePower"	"Raffle"	"2021-04-13T19:59:34"	"True"	"True"	"2021-04-13T20:00:34"	"Raffle"	"Virgil"	"False"	""	"16"	"12"	"4"	"00:01:00"	"0,08333333333333333"
"3"	"InspireMercenariesPower"	"Raffle"	"2021-04-13T20:51:34"	"True"	"True"	"2021-04-13T20:52:34"	"Raffle"	"Ursus"	"False"	""	"17"	"13"	"4"	"00:01:00"	"0,07692307692307693"
"7"	"FreeCachePower"	"Raffle"	"2021-04-13T21:54:34"	"True"	"True"	"2021-04-13T21:55:35"	"Raffle"	"Mythos1618"	"False"	""	"13"	"11"	"2"	"00:01:01"	"0,09090909090909091"
"7"	"TimeWarpPower"	"Raffle"	"2021-04-13T22:05:35"	"True"	"True"	"2021-04-13T22:06:35"	"Raffle"	"scorpiaris"	"False"	""	"17"	"17"	"0"	"00:01:00"	"0,058823529411764705"
