"Player"	"Streak"	"RafflesWon"	"RafflesJoined"	"ExpectedRafflesWon"	"CoinsWon"	"ExpectedCoinsWon"
"Legolas"	"2"	"60"	"326"	"48,15574307013949"	"336"	"345,2657968149842"
"stonemende"	"2"	"154"	"1260"	"165,04870712105213"	"1520"	"1263,6790141300053"
"Splat"	"2"	"177"	"1208"	"170,61667648507358"	"1452"	"1202,9979172726373"
"JK_3"	"4"	"1549"	"10696"	"1544,6977453473758"	"12254"	"11987,721717986022"
"Ocean0.1"	"2"	"98"	"714"	"89,07358658283626"	"890"	"652,2411248366351"
"TrapdoorSp"	"1"	"12"	"123"	"15,202997307989554"	"160"	"111,50465642888244"
"Hodop"	"2"	"87"	"639"	"83,66276433834503"	"697"	"568,5321300173849"
"Sevban"	"2"	"38"	"251"	"35,73788082832204"	"294"	"246,2670310898253"
"Thorben"	"1"	"65"	"464"	"62,146022806742934"	"407"	"420,61213895323795"
"Jay7331"	"0"	"0"	"1"	"0,25"	"0"	"1,25"
"bball3904"	"0"	"0"	"0"	"0"	"0"	"0"
"Warlock"	"0"	"0"	"14"	"1,5519952269952269"	"0"	"7,18451825951826"
"krinid"	"4"	"763"	"5275"	"787,2753314481064"	"5604"	"5619,452632487746"
"#BanPlajer"	"3"	"92"	"583"	"94,75348127964247"	"607"	"633,3362182236405"
"Captain Ab"	"3"	"263"	"1573"	"271,61641498186935"	"1825"	"2023,8358319508432"
"Hutch"	"0"	"0"	"9"	"0,8734810940693294"	"0"	"10,702243834596775"
"Kratt"	"2"	"55"	"353"	"46,754629588042754"	"457"	"391,0850826700181"
"KaelF"	"2"	"11"	"158"	"18,485473165465404"	"57"	"145,93856296352422"
"fndtn"	"2"	"30"	"228"	"34,53710949782931"	"198"	"303,0981441460156"
"Athena's C"	"1"	"14"	"151"	"19,880193722685966"	"125"	"139,70792423950317"
"Mythos1618"	"2"	"30"	"234"	"30,441359762528474"	"197"	"258,0704723123454"
